Joueur,Adversaire,Nombre de rencontres,Nombre de victoires,% Victoire,Nombre de rencontres (hard),Nombre de victoires (hard),% Victoire (hard),Nombre de rencontres (clay),Nombre de victoires (clay),% Victoire (clay),Nombre de rencontres (grass),Nombre de victoires (grass),% Victoire (grass),Nombre de rencontres (various),Nombre de victoires (various),% Victoire (various),player_key,Rang,player_bday,Nombre titres total,Victoire totale,Victoire Hard,Victoire Clay,Victoire Grass,Age,% victoire général,% victoire hard,% victoire clay,% victoire grass,matches_won_top100,% victoire contre top 100
Y. Nishioka,A. Popyrin,1.0,1.0,100.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1972.0,36.0,27.09.1995,10.0,384.0,297.0,74.0,9.0,28.0,63.829787234042556,50.0,65.85365853658537,0.0,0.0,0.0
J. Lehecka,A. Rinderknech,1.0,1.0,100.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2959.0,0.0,08.11.2001,14.0,231.0,106.0,105.0,16.0,22.0,40.0,52.38095238095239,25.0,50.0,0.0,0.0
J. Lehecka,A. Rublev,1.0,1.0,100.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2959.0,0.0,08.11.2001,14.0,231.0,106.0,105.0,16.0,22.0,40.0,52.38095238095239,25.0,50.0,0.0,0.0
J. Lehecka,F. Bagnis,1.0,1.0,100.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2959.0,0.0,08.11.2001,14.0,231.0,106.0,105.0,16.0,22.0,40.0,52.38095238095239,25.0,50.0,0.0,0.0
J. Lehecka,R. Albot,1.0,1.0,100.0,0.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,2959.0,0.0,08.11.2001,14.0,231.0,106.0,105.0,16.0,22.0,40.0,52.38095238095239,25.0,50.0,0.0,0.0
J. Lehecka,B. Nakashima,1.0,1.0,100.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2959.0,0.0,08.11.2001,14.0,231.0,106.0,105.0,16.0,22.0,40.0,52.38095238095239,25.0,50.0,0.0,0.0
J. Lehecka,T. Paul,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,2959.0,0.0,08.11.2001,14.0,231.0,106.0,105.0,16.0,22.0,40.0,52.38095238095239,25.0,50.0,0.0,0.0
J. Lehecka,K. Khachanov,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2959.0,0.0,08.11.2001,14.0,231.0,106.0,105.0,16.0,22.0,40.0,52.38095238095239,25.0,50.0,0.0,0.0
J. Lehecka,A. Murray,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2959.0,0.0,08.11.2001,14.0,231.0,106.0,105.0,16.0,22.0,40.0,52.38095238095239,25.0,50.0,0.0,0.0
J. Lehecka,F. Auger-Aliassime,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2959.0,0.0,08.11.2001,14.0,231.0,106.0,105.0,16.0,22.0,40.0,52.38095238095239,25.0,50.0,0.0,0.0
R. A. Burruchaga,F. Comesana,1.0,1.0,100.0,0.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,9596.0,145.0,23.01.2002,7.0,210.0,26.0,181.0,3.0,22.0,49.09090909090909,52.63157894736842,30.0,57.14285714285714,0.0,0.0
E. Leshem,G. Mpetshi Perricard,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,635.0,250.0,19.03.1997,3.0,185.0,172.0,11.0,1.0,27.0,33.33333333333333,33.33333333333333,0.0,0.0,0.0,0.0
M. Frech,H. Baptiste,1.0,1.0,100.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2089.0,52.0,15.12.1997,6.0,261.0,150.0,83.0,24.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0
M. Frech,J. Cristian,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2089.0,52.0,15.12.1997,6.0,261.0,150.0,83.0,24.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0
M. Frech,K. Muchova,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2089.0,52.0,15.12.1997,6.0,261.0,150.0,83.0,24.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0
M. Frech,N. Hibino,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2089.0,52.0,15.12.1997,6.0,261.0,150.0,83.0,24.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0
M. Frech,E. Alexandrova,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2089.0,52.0,15.12.1997,6.0,261.0,150.0,83.0,24.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0
M. Frech,S. Rogers,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2089.0,52.0,15.12.1997,6.0,261.0,150.0,83.0,24.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0
M. Frech,O. Jabeur,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2089.0,52.0,15.12.1997,6.0,261.0,150.0,83.0,24.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0
S. Kenin,L. Fernandez,1.0,1.0,100.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2904.0,0.0,14.11.1998,15.0,272.0,202.0,46.0,29.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0
S. Kenin,O. Jabeur,1.0,1.0,100.0,0.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,2904.0,0.0,14.11.1998,15.0,272.0,202.0,46.0,29.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0
S. Kenin,C. Garcia,1.0,1.0,100.0,0.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,2904.0,0.0,14.11.1998,15.0,272.0,202.0,46.0,29.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0
S. Kenin,B. Krejcikova,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2904.0,0.0,14.11.1998,15.0,272.0,202.0,46.0,29.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0
S. Kenin,E. Cocciaretto,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2904.0,0.0,14.11.1998,15.0,272.0,202.0,46.0,29.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0
S. Kenin,M. Bouzkova,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2904.0,0.0,14.11.1998,15.0,272.0,202.0,46.0,29.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0
Xiy. Wang,Y. Yuan,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,463.0,50.0,28.03.2001,4.0,202.0,115.0,58.0,22.0,23.0,51.85185185185185,66.66666666666666,44.44444444444444,0.0,0.0,0.0
