player_key,player_name,player_country,player_bday,player_logo,season,type,rank,titles,matches_won,matches_lost,hard_won,hard_lost,clay_won,clay_lost,grass_won,grass_lost
18,E. Christofi,Greece,09.08.1998,,2022,singles,740,0,15,20,4,5,11,15,,
18,E. Christofi,Greece,09.08.1998,,2021,singles,1074,0,9,6,1,2,8,4,,
18,E. Christofi,Greece,09.08.1998,,2020,singles,,0,0,1,,,0,1,,
18,E. Christofi,Greece,09.08.1998,,2016,singles,,0,3,2,,,2,1,1,1
18,E. Christofi,Greece,09.08.1998,,2023,doubles,310,5,46,15,8,2,38,13,,
18,E. Christofi,Greece,09.08.1998,,2023,singles,689,0,25,20,3,3,22,17,,
18,E. Christofi,Greece,09.08.1998,,2024,doubles,248,4,17,7,2,3,15,4,,
18,E. Christofi,Greece,09.08.1998,,2024,singles,699,0,3,8,0,3,3,5,,
19,C. Sauvant,Germany,08.05.2002,,2022,doubles,746,0,8,9,3,2,5,7,,
19,C. Sauvant,Germany,08.05.2002,,2021,doubles,1070,0,9,8,1,1,8,7,,
19,C. Sauvant,Germany,08.05.2002,,2020,doubles,1241,0,2,2,2,2,,,,
19,C. Sauvant,Germany,08.05.2002,,2022,singles,539,2,32,16,1,3,31,13,,
19,C. Sauvant,Germany,08.05.2002,,2021,singles,1106,0,6,9,2,2,4,7,,
19,C. Sauvant,Germany,08.05.2002,,2020,singles,1280,0,3,3,1,1,2,2,,
19,C. Sauvant,Germany,08.05.2002,,2023,doubles,707,4,21,9,5,1,16,8,,
19,C. Sauvant,Germany,08.05.2002,,2023,singles,601,1,28,25,4,4,24,21,,
19,C. Sauvant,Germany,08.05.2002,,2024,doubles,653,1,12,8,2,2,10,6,,
19,C. Sauvant,Germany,08.05.2002,,2024,singles,566,0,12,8,1,2,11,6,,
21,S. J. Visscher,Netherlands,25.01.2000,,2022,doubles,459,3,46,21,20,8,26,13,,
21,S. J. Visscher,Netherlands,25.01.2000,,2021,doubles,282,5,47,20,33,13,14,7,,
21,S. J. Visscher,Netherlands,25.01.2000,,2020,doubles,517,1,11,7,9,4,2,3,,
21,S. J. Visscher,Netherlands,25.01.2000,,2022,singles,662,2,34,25,18,10,16,15,,
21,S. J. Visscher,Netherlands,25.01.2000,,2021,singles,704,0,10,21,7,14,3,7,,
21,S. J. Visscher,Netherlands,25.01.2000,,2020,singles,724,0,10,10,9,8,1,2,,
21,S. J. Visscher,Netherlands,25.01.2000,,2023,doubles,372,3,34,24,13,9,21,15,,
21,S. J. Visscher,Netherlands,25.01.2000,,2023,singles,565,0,24,26,9,9,15,17,,
21,S. J. Visscher,Netherlands,25.01.2000,,2024,doubles,348,1,14,5,9,5,5,0,,
21,S. J. Visscher,Netherlands,25.01.2000,,2024,singles,596,0,5,6,3,5,2,1,,
22,L. Petretic,France,07.04.2004,,2022,doubles,768,3,15,7,0,1,15,6,,
22,L. Petretic,France,07.04.2004,,2021,doubles,1408,0,3,6,2,2,1,4,,
22,L. Petretic,France,07.04.2004,,2020,doubles,1236,0,1,1,,,1,1,,
22,L. Petretic,France,07.04.2004,,2022,singles,793,0,17,16,,,17,16,,
22,L. Petretic,France,07.04.2004,,2021,singles,1040,0,3,8,2,4,1,4,,
22,L. Petretic,France,07.04.2004,,2020,singles,,0,0,2,,,0,2,,
22,L. Petretic,France,07.04.2004,,2023,doubles,812,0,12,14,1,2,11,12,,
22,L. Petretic,France,07.04.2004,,2023,singles,712,0,17,21,1,2,16,19,,
22,L. Petretic,France,07.04.2004,,2024,doubles,699,1,12,3,3,1,9,2,,
22,L. Petretic,France,07.04.2004,,2024,singles,731,0,3,5,1,2,2,3,,
23,M. Bergen,Ukraine,12.06.2001,,2022,doubles,833,0,13,14,2,3,11,11,,
23,M. Bergen,Ukraine,12.06.2001,,2021,doubles,984,0,6,9,0,3,6,6,,
23,M. Bergen,Ukraine,12.06.2001,,2020,doubles,1220,0,1,5,,,1,5,,
23,M. Bergen,Ukraine,12.06.2001,,2022,singles,1280,0,4,10,0,1,4,9,,
23,M. Bergen,Ukraine,12.06.2001,,2021,singles,1194,0,4,5,0,1,4,4,,
23,M. Bergen,Ukraine,12.06.2001,,2020,singles,1328,0,0,1,,,0,1,,
23,M. Bergen,Ukraine,12.06.2001,,2023,doubles,935,0,9,12,7,3,2,9,,
23,M. Bergen,Ukraine,12.06.2001,,2023,singles,,0,0,2,0,2,,,,
23,M. Bergen,Ukraine,12.06.2001,,2024,doubles,966,0,1,4,0,1,1,3,,
24,M. Radenkovic,Sweden,07.04.2002,,2022,doubles,1420,0,4,11,3,5,1,6,,
24,M. Radenkovic,Sweden,07.04.2002,,2021,doubles,1672,0,2,8,1,4,1,4,,
24,M. Radenkovic,Sweden,07.04.2002,,2020,doubles,,0,0,3,0,2,0,1,,
24,M. Radenkovic,Sweden,07.04.2002,,2022,singles,1138,0,7,9,3,5,4,4,,
24,M. Radenkovic,Sweden,07.04.2002,,2021,singles,,0,0,3,0,3,,,,
24,M. Radenkovic,Sweden,07.04.2002,,2020,singles,,0,0,2,0,2,,,,
24,M. Radenkovic,Sweden,07.04.2002,,2023,doubles,1105,1,11,10,2,3,9,7,,
24,M. Radenkovic,Sweden,07.04.2002,,2023,singles,1167,0,8,13,0,4,8,9,,
24,M. Radenkovic,Sweden,07.04.2002,,2024,doubles,1118,0,0,1,0,1,,,,
24,M. Radenkovic,Sweden,07.04.2002,,2024,singles,1151,0,0,1,0,1,,,,
25,G. Bestetti,Italy,01.10.1997,,2022,doubles,1193,0,12,19,7,14,5,5,,
25,G. Bestetti,Italy,01.10.1997,,2021,doubles,,0,0,4,0,2,0,2,,
25,G. Bestetti,Italy,01.10.1997,,2022,singles,976,0,14,20,9,10,5,10,,
25,G. Bestetti,Italy,01.10.1997,,2021,singles,,0,1,2,1,2,,,,
25,G. Bestetti,Italy,01.10.1997,,2023,doubles,877,1,15,13,15,10,0,3,,
25,G. Bestetti,Italy,01.10.1997,,2023,singles,,0,1,15,1,13,0,2,,
25,G. Bestetti,Italy,01.10.1997,,2024,doubles,1077,0,1,2,1,2,,,,
25,G. Bestetti,Italy,01.10.1997,,2024,singles,,0,0,1,0,1,,,,
26,A. Vangelova,Bulgaria,14.07.1993,,2022,doubles,624,1,32,26,,,32,26,,
26,A. Vangelova,Bulgaria,14.07.1993,,2021,doubles,725,0,25,28,2,4,21,23,2,1
26,A. Vangelova,Bulgaria,14.07.1993,,2020,doubles,796,0,5,9,1,3,4,6,,
26,A. Vangelova,Bulgaria,14.07.1993,,2012,doubles,1198,0,1,3,1,3,,,,
26,A. Vangelova,Bulgaria,14.07.1993,,2011,doubles,934,0,1,1,,,1,1,,
26,A. Vangelova,Bulgaria,14.07.1993,,2022,singles,848,0,18,28,,,18,28,,
26,A. Vangelova,Bulgaria,14.07.1993,,2021,singles,874,0,10,25,1,3,8,21,1,1
26,A. Vangelova,Bulgaria,14.07.1993,,2020,singles,826,0,1,11,0,4,1,7,,
26,A. Vangelova,Bulgaria,14.07.1993,,2014,singles,868,0,0,1,0,1,,,,
26,A. Vangelova,Bulgaria,14.07.1993,,2013,singles,955,0,0,1,0,1,,,,
