id_match,bookmaker,cote_Home,cote_Away
11950467,Betano,1.27,3.75
11950467,Betway,1.29,3.75
11950467,Tipico,1.27,3.70
11950467,Betcris,1.27,3.65
11950470,NordicBet,2.70,1.48
11950470,10Bet,2.65,1.44
11950470,bet365,2.75,1.44
11950470,Marathon,2.88,1.42
11950470,Unibet,2.95,1.40
11950470,Betfair,2.86,1.53
11950470,Betsson,2.70,1.48
11950470,Pncl,2.80,1.49
11950470,Sbo,2.66,1.42
11950470,1xbet,2.86,1.43
11950470,Betano,2.82,1.44
11950470,Betway,2.75,1.45
11950470,Tipico,2.90,1.40
11950470,Betcris,2.80,1.43
11950472,NordicBet,1.32,3.40
11950472,10Bet,1.33,3.20
11950472,bet365,1.33,3.40
11950472,Marathon,1.32,3.40
11950472,Unibet,1.34,3.30
11950472,Betfair,1.39,3.55
11950472,Betsson,1.32,3.40
11950472,Pncl,1.35,3.47
11950472,Sbo,1.28,3.27
11950472,1xbet,1.33,3.38
11950472,Betano,1.32,3.40
11950472,Betway,1.30,3.50
11950472,Tipico,1.30,3.40
11950472,Betcris,1.32,3.30
11950474,NordicBet,20.00,1.02
11950474,10Bet,11.00,1.02
11950474,bet365,26.00,1.01
11950474,Marathon,18.50,
11950474,Unibet,17.00,1.02
11950474,Betfair,36.00,1.02
11950474,Betsson,20.00,1.02
11950474,Pncl,36.92,1.01
11950474,1xbet,20.00,
11950474,Betano,17.50,1.01
11950474,Betway,26.00,1.01
11950474,Tipico,16.00,1.02
11950474,Betcris,15.00,1.01
11950137,NordicBet,1.98,1.82
11950137,10Bet,2.05,1.73
11950137,bet365,2.20,1.66
11950137,Marathon,2.23,1.66
11950137,Unibet,1.98,1.81
11950137,Betfair,2.06,1.94
11950137,Betsson,1.98,1.82
11950137,188bet,1.97,1.81
11950137,Pncl,2.04,1.87
11950137,Sbo,2.07,1.73
11950137,1xbet,1.99,1.82
11950137,Betano,2.15,1.70
11950137,Betway,2.10,1.73
11950137,Tipico,2.25,1.62
11950137,Betcris,2.18,1.67
11950140,NordicBet,7.30,1.09
11950140,10Bet,7.00,1.08
11950140,bet365,7.00,1.10
11950140,Marathon,6.75,1.11
11950140,Unibet,7.00,1.11
11950140,Betfair,9.20,1.11
11950140,Betsson,7.30,1.09
11950140,188bet,7.80,1.07
11950140,Pncl,8.10,1.11
11950140,Sbo,5.54,1.08
11950140,1xbet,7.03,1.10
11950140,Betano,5.80,1.14
11950140,Betway,8.00,1.08
11950140,Tipico,6.50,1.10
11950140,Betcris,5.80,1.12
11950142,NordicBet,1.32,3.40
11950142,10Bet,1.33,3.20
11950142,bet365,1.30,3.50
11950142,Marathon,1.31,3.46
11950142,Unibet,1.33,3.35
11950142,Betfair,1.35,3.70
11950142,Betsson,1.32,3.40
11950142,188bet,1.30,3.40
11950142,Pncl,1.34,3.56
11950142,Sbo,1.28,3.27
11950142,1xbet,1.31,3.53
11950142,Betano,1.31,3.50
11950142,Betway,1.30,3.50
11950142,Tipico,1.32,3.30
11950142,Betcris,1.31,3.40
11950147,NordicBet,20.00,1.01
11950147,10Bet,11.00,1.02
11950147,bet365,19.00,1.02
11950147,Marathon,14.25,1.02
11950147,Unibet,17.00,1.02
11950147,Betfair,32.00,1.03
11950147,Betsson,20.00,1.01
11950147,Pncl,28.07,1.02
11950147,1xbet,14.90,1.02
11950147,Betano,13.50,1.03
11950147,Betway,20.00,1.01
11950147,Tipico,16.00,1.02
11950147,Betcris,14.00,1.01
11950149,NordicBet,2.60,1.50
11950149,10Bet,2.62,1.45
11950149,bet365,2.75,1.44
11950149,Marathon,2.62,1.49
11950149,Unibet,2.65,1.48
11950149,Betfair,2.84,1.53
11950149,Betsson,2.60,1.50
11950149,188bet,2.76,1.43
11950149,Pncl,2.74,1.52
11950149,Sbo,2.63,1.43
11950149,1xbet,2.68,1.48
11950149,Betano,2.67,1.47
11950149,Betway,2.75,1.45
11950149,Tipico,2.80,1.42
11950149,Betcris,2.65,1.46
11950151,NordicBet,6.60,1.11
11950151,10Bet,6.00,1.11
11950151,bet365,7.00,1.10
11950151,Marathon,7.10,1.10
