event_key,score_first,score_second,score_set
2687215,4,6,1
2687215,6,3,2
2687215,6,2,3
2687216,6,2,1
2687216,6,3,2
2687217,6.6,7.8,1
2687217,2,6,2
2687218,7.9,6.7,1
2687218,7.9,6.7,2
2687219,5,7,1
2687219,2,6,2
2687220,1,6,1
2687220,4,6,2
2731872,4,6,1
2731872,6,4,2
2731872,7.7,6.4,3
2731873,6,4,1
2731873,5,7,2
2731873,7.7,6.5,3
58015,1,6,1
58015,2,6,2
58016,7.12,6.10,1
58016,2,6,2
58016,5,7,3
58017,6.5,7.7,1
58017,2,6,2
58041,7.7,6.5,1
58041,3,6,2
58041,4,6,3
58042,6.5,7.7,1
58042,4,6,2
58043,2,6,1
58043,6.3,7.7,2
58052,7.7,6.4,1
58052,3,6,2
58052,5,7,3
58053,6,4,1
58053,6,4,2
2687186,6,2,1
2687186,5,7,2
2687186,1,6,3
2687187,7.7,6.4,1
2687187,7.7,6.5,2
2687221,6,4,1
2687221,6.4,7.7,2
2687221,7,5,3
2687222,7.7,6.3,1
2687222,7,5,2
2687223,6,4,1
2687223,7,5,2
2687224,6.4,7.7,1
2687224,2,6,2
2731874,6,4,1
2731874,7,5,2
2731875,3,6,1
2731875,4,6,2
2731876,2,6,1
2731876,4,6,2
2731877,2,6,1
2731877,6,3,2
2731877,6,4,3
2731878,6,4,1
2731878,6,3,2
2731879,6.5,7.7,1
2731879,2,6,2
2731880,7,5,1
2731880,6,3,2
2731881,6,4,1
2731881,6,2,2
2731882,6,4,1
2731882,6,1,2
2731883,7.8,6.6,1
2731883,7,5,2
58018,7,5,1
58018,3,6,2
58018,6,4,3
58019,7.13,6.11,2
58020,6,3,1
58020,7,5,2
58021,6,2,1
58021,2,6,2
58021,6.4,7.7,3
58022,7.7,6.5,1
58022,6.4,7.7,2
58022,2,6,3
58023,4,6,1
58023,1,6,2
58024,6,4,1
58024,6,2,2
58025,6.7,7.9,1
58025,6,4,2
58025,3,6,3
2687188,7,5,1
2687188,7.7,6.3,2
2687189,7,5,1
2687189,6,2,2
2687190,6,4,1
2687190,6,4,2
2687191,6.5,7.7,1
2687192,6.4,7.7,1
2687192,7,5,2
2687192,4,6,3
2687193,2,6,1
2687193,1,6,2
2687194,6.5,7.7,1
2687194,4,6,2
2731884,6,2,1
2731884,3,6,2
2731884,6,1,3
2731885,3,6,1
2731885,6.3,7.7,2
2731886,6,3,1
2731886,6,2,2
58026,3,6,1
58026,6.7,7.9,2
58027,6,3,1
58027,4,6,2
58027,4,6,3
58028,6,4,1
58028,3,6,2
58028,6.4,7.7,3
58029,6.3,7.7,1
58029,6,3,2
58029,3,6,3
2687195,3,6,1
2687195,6.2,7.7,2
2687196,6,3,1
2687196,6.2,7.7,2
2687196,6,2,3
2687197,6.3,7.7,1
2687197,6,4,2
2687197,6,3,3
2687198,2,6,1
2687198,4,6,2
2687199,6,4,1
2687199,7.7,6.2,2
2687200,4,6,1
2687200,2,3,2
2731887,3,6,1
2731887,6.4,7.7,2
2731888,6,4,1
2731888,2,3,2
2731889,6,4,1
2731889,6.1,7.7,2
2731889,2,6,3
2731890,6,4,1
2731890,1,6,2
2731890,1,6,3
58030,3,6,1
58030,4,6,2
58031,6,3,1
58031,6,3,2
58032,2,6,1
58032,6.3,7.7,2
58033,3,6,1
58033,2,6,2
2687201,6,1,1
2687201,5,7,2
2687201,6,2,3
2687202,6,4,1
2687202,6,2,2
2687203,5,7,1
2687203,4,6,2
2687204,6,2,1
2687204,7.7,6.5,2
2687205,1,6,1
2687205,2,6,2
2731891,6,2,1
2731891,6,4,2
2731892,7.7,6.5,1
2731892,7,5,2
2731893,6,4,1
2731893,7,5,2
2731894,3,6,1
2731894,7,5,3
58034,6,2,1
58034,6.5,7.7,2
58034,6,4,3
58035,6,3,1
58035,6,4,2
58036,6,2,1
58036,6,3,2
58037,6,4,1
58037,7.7,6.4,2
2687206,7,5,1
2687206,6,2,2
2687207,6,4,1
2687207,2,6,2
2687207,7.7,6.4,3
2687208,7,5,1
2687208,6.6,7.8,2
2687208,6,1,3
2687209,6,1,1
3440446,3,6,1
3440447,7.7,6.3,1
3440447,6,1,2
3440448,3,6,1
3440448,2,6,2
3440449,2,6,1
3440449,2,6,2
3440450,6,4,1
3440450,6.0,7.7,2
3440450,3,6,3
3440451,6,4,1
3440451,6,3,2
3440452,6,3,1
3440452,6,2,2
2731895,1,6,1
2731895,6.4,7.7,2
2731896,3,6,1
2731896,6.6,7.8,2
58038,6,3,1
58038,7.7,6.0,2
58039,7,5,1
58039,6.4,7.7,2
58039,5,7,3
2687210,4,6,1
2687210,2,6,2
2687211,6,1,1
2687211,6,3,2
3460343,6,4,1
3460343,6,4,2
3460344,7.13,6.11,1
3460344,6,3,2
3460345,6.5,7.7,1
3460346,6,4,1
3460346,7.7,6.5,2
3460347,4,6,1
3460347,1,6,2
3460348,4,6,1
3460348,4,6,2
3460349,6,3,1
3460349,6.5,7.7,2
3460349,6,1,3
3460350,6,1,1
3460350,7.7,6.4,2
3460352,6,1,1
3460352,6,1,2
3460353,7.8,6.6,1
3460353,2,6,2
3460353,6,4,3
3460354,5,7,1
3460354,7,5,2
3460354,2,6,3
3440453,6,3,1
3440453,7.11,6.9,2
3440454,4,6,1
3440454,2,6,2
3440455,6,3,1
3440455,7,5,2
3440456,7.7,6.4,1
3440456,6,1,2
3440457,6.5,7.7,1
3440457,3,6,2
2731897,7.7,6.4,1
2731897,6,4,2
2731898,6,4,1
2731898,3,6,2
2731898,4,6,3
2787453,6,3,1
2787453,1,6,2
2787453,6.6,7.8,3
2787454,7.7,6.1,1
2787454,6,3,2
2787455,7.7,6.5,1
2787455,2,6,2
2787455,4,6,3
2787456,7,5,1
2787456,6,3,2
2787457,3,6,1
2787457,6,2,2
2787457,6,4,3
2787458,4,6,1
2787458,7.7,6.5,2
2787458,6.4,7.7,3
58040,7.11,6.9,1
58040,4,6,2
58040,6,1,3
2687212,4,6,1
2687212,3,6,2
3460351,4,6,1
3460351,6,4,2
3460351,4,6,3
3440434,3,6,1
3440434,3,6,2
3440435,6,4,1
3440435,7.7,6.5,2
3440436,4,6,1
3440436,4,6,2
3440437,3,6,1
3440437,6,3,2
3440437,2,6,3
2787440,6.1,7.7,1
2787440,7.9,6.7,2
2787440,6.5,7.7,3
2787441,6,1,1
2787441,6,4,2
2787442,7.7,6.3,1
2787442,6.6,7.8,2
2787442,2,6,3
2787443,6,3,1
2787443,3,6,2
2787443,6,3,3
3460331,6,1,1
3460331,4,6,2
3460331,4,6,3
3460332,3,6,1
3460332,3,6,2
3460333,6,4,1
3460333,6,1,2
3460334,3,6,1
3460334,4,6,2
3460335,4,6,1
3460335,6.4,7.7,2
4555798,6,3,1
4555798,6,1,2
4555799,7.7,6.5,1
4555799,2,6,2
4555799,4,6,3
4555800,6,4,1
4555800,6,2,2
4555801,3,6,1
4555801,2,6,2
4555802,6.3,7.7,1
4555802,6,3,2
4555802,6,4,3
4555803,2,6,1
4555803,4,6,2
4555804,7.7,6.4,1
4555804,7.7,6.3,2
3440442,6,3,1
3440442,2,6,2
3440442,5,7,3
3440443,6,3,1
3440443,6,3,2
3440444,5,7,1
3440444,6,3,2
3440444,2,6,3
2787448,4,6,1
2787448,4,6,2
2787449,3,6,1
2787449,4,6,2
2787450,6.7,7.9,1
2787450,6.22,7.24,2
4544429,6,4,1
4544429,7.7,6.3,2
4544430,3,6,1
4544430,4,6,2
4544431,6,2,1
4544431,6,1,2
4544432,4,6,1
4544432,6.2,7.7,2
4544434,6,1,1
4544434,6,2,2
4544435,2,6,1
4544435,5,7,2
4544436,6,3,1
4544436,1,6,2
4544436,7.7,6.5,3
3440576,1,6,1
3440576,5,7,2
3440577,6,4,1
3440577,6,2,2
3440578,6,1,1
3440578,6,3,2
3440579,7,5,1
3440579,6,2,2
3440580,6,1,1
3440580,7.7,6.4,2
3440581,2,6,1
3440581,3,6,2
3440582,6,4,1
3440582,7.7,6.5,2
3440583,4,6,1
3440583,5,7,2
