event_key,event_date,event_time,event_first_player,first_player_key,event_first_player_logo,event_second_player,second_player_key,event_second_player_logo,event_final_result,event_game_result,event_winner,event_status,event_type_type,tournament_name,tournament_key,tournament_round,tournament_season,event_live
11904428,2023-10-13,10:20,M. Trevisan,512,https://api.api-tennis.com/logo-tennis/512_m-trevisan.jpg,E. Mertens,521,https://api.api-tennis.com/logo-tennis/521_e-mertens.jpg,2 - 0,-,First Player,Finished,Wta Singles,WTA Hong Kong,2241,WTA Hong Kong - Quarter-finals,2023,0
11904429,2023-10-13,14:05,K. Siniakova,3006,https://api.api-tennis.com/logo-tennis/3006_k-siniakova.jpg,A. Pavlyuchenkova,2694,https://api.api-tennis.com/logo-tennis/2694_a-pavlyuchenkova.jpg,2 - 0,-,First Player,Finished,Wta Singles,WTA Hong Kong,2241,WTA Hong Kong - Quarter-finals,2023,0
11904455,2023-10-13,12:05,L. Fernandez,2394,https://api.api-tennis.com/logo-tennis/2394_l-a-fernandez.jpg,L. Fruhvirtova,446,https://api.api-tennis.com/logo-tennis/446_l-fruhvirtova.jpg,2 - 0,-,First Player,Finished,Wta Singles,WTA Hong Kong,2241,WTA Hong Kong - Quarter-finals,2023,0
11904456,2023-10-13,10:30,O. Jabeur,1911,https://api.api-tennis.com/logo-tennis/1911_o-jabeur.jpg,D. Kasatkina,1990,https://api.api-tennis.com/logo-tennis/1990_d-kasatkina.jpg,-,-,Second Player,Walk Over,Wta Singles,WTA Zhengzhou,3163,WTA Zhengzhou - Quarter-finals,2023,0
11904457,2023-10-13,14:40,B. Krejcikova,2801,https://api.api-tennis.com/logo-tennis/2801_b-krejcikova.jpg,L. Tsurenko,473,https://api.api-tennis.com/logo-tennis/473_l-tsurenko.jpg,1 - 0,0 - 0,First Player,Retired,Wta Singles,WTA Zhengzhou,3163,WTA Zhengzhou - Quarter-finals,2023,0
11904257,2023-10-13,14:15,U. Humbert,1105,https://api.api-tennis.com/logo-tennis/1105_u-humbert.jpg,A. Rublev,2847,https://api.api-tennis.com/logo-tennis/2847_a-rublev.jpg,0 - 2,-,Second Player,Finished,Atp Singles,ATP Shanghai,1667,ATP Shanghai - Quarter-finals,2023,0
11904183,2023-10-13,10:40,G. Dimitrov,2384,https://api.api-tennis.com/logo-tennis/2384_g-dimitrov.jpg,N. Jarry,400,https://api.api-tennis.com/logo-tennis/400_n-jarry.jpg,2 - 0,-,First Player,Finished,Atp Singles,ATP Shanghai,1667,ATP Shanghai - Quarter-finals,2023,0
11904595,2023-10-14,08:10,L. Fernandez,2394,https://api.api-tennis.com/logo-tennis/2394_l-a-fernandez.jpg,A. Blinkova,1779,https://api.api-tennis.com/logo-tennis/1779_a-blinkova.jpg,2 - 0,-,First Player,Finished,Wta Singles,WTA Hong Kong,2241,WTA Hong Kong - Semi-finals,2023,0
11904596,2023-10-14,05:10,J. Rompies,8473,,Y. Dang,53147,,2 - 0,-,First Player,Finished,Wta Singles,WTA Nanchang,2303,WTA Nanchang - Semi-finals,2023,0
11904597,2023-10-14,06:05,K. Deichmann,459,https://api.api-tennis.com/logo-tennis/459_k-deichmann.jpg,P. Thombare,38643,,2 - 0,-,First Player,Finished,Wta Singles,WTA Nanchang,2303,WTA Nanchang - Semi-finals,2023,0
11904598,2023-10-14,07:05,Y. Hou,31155,,U. Eikeri,1817,https://api.api-tennis.com/logo-tennis/1817_u-eikeri.jpg,0 - 2,-,Second Player,Finished,Wta Singles,WTA Nanchang,2303,WTA Nanchang - Semi-finals,2023,0
11904599,2023-10-14,07:15,A. Detiuc,5799,https://api.api-tennis.com/logo-tennis/5799_a-detiuc.jpg,A. Anshba,1983,,0 - 2,-,Second Player,Finished,Wta Singles,WTA Nanchang,2303,WTA Nanchang - Semi-finals,2023,0
11904600,2023-10-14,10:00,K. Piter,6459,https://api.api-tennis.com/logo-tennis/6459_k-piter.jpg,F. Y. Xun,1379,https://api.api-tennis.com/logo-tennis/1379_f-y-xun.jpg,-,-,,Cancelled,Wta Singles,WTA Nanchang,2303,,2023,0
11904601,2023-10-14,07:40,Y. Yuan,1112,https://api.api-tennis.com/logo-tennis/1112_y-yuan.jpg,E. Bektas,1796,,2 - 1,-,First Player,Finished,Wta Singles,WTA Seoul,1222,WTA Seoul - Semi-finals,2023,0
11904602,2023-10-14,10:30,J. Pegula,2171,https://api.api-tennis.com/logo-tennis/2171_j-pegula.jpg,Y. Wickmayer,74,https://api.api-tennis.com/logo-tennis/74_y-wickmayer.jpg,2 - 0,-,First Player,Finished,Wta Singles,WTA Seoul,1222,WTA Seoul - Semi-finals,2023,0
11904603,2023-10-14,12:40,Q. Zheng,1813,,J. Paolini,2811,https://api.api-tennis.com/logo-tennis/2811_j-paolini.jpg,2 - 0,-,First Player,Finished,Wta Singles,WTA Zhengzhou,3163,WTA Zhengzhou - Semi-finals,2023,0
11904622,2023-10-14,10:05,S. Bandecchi,484,https://api.api-tennis.com/logo-tennis/484_s-bandecchi.jpg,V. Grammatikopoulou,504,https://api.api-tennis.com/logo-tennis/504_v-grammatikopoulou.jpg,2 - 1,-,First Player,Finished,Wta Singles,WTA Cluj-Napoca,4407,WTA Cluj-Napoca - Semi-finals,2023,0
11904623,2023-10-14,10:00,A. Raina,1442,https://api.api-tennis.com/logo-tennis/1442_a-raina.jpg,I. G. Ghioroaie,221,,-,-,,Cancelled,Wta Singles,WTA Cluj-Napoca,4407,,2023,0
11904624,2023-10-14,13:10,M. Gae,55170,,M. Matoula,34,,1 - 2,-,Second Player,Finished,Wta Singles,WTA Cluj-Napoca,4407,WTA Cluj-Napoca - Semi-finals,2023,0
11904625,2023-10-14,11:10,I. Oz,486,,Q. Gleason,5569,https://api.api-tennis.com/logo-tennis/5569_q-gleason.jpg,2 - 0,-,First Player,Finished,Wta Singles,WTA Cluj-Napoca,4407,WTA Cluj-Napoca - Semi-finals,2023,0
11904626,2023-10-14,12:50,I. D. Amariei,30,,V. Strakhova,148,,0 - 2,-,Second Player,Finished,Wta Singles,WTA Cluj-Napoca,4407,WTA Cluj-Napoca - Semi-finals,2023,0
11904627,2023-10-14,15:35,E. Makarova,524,,B. Szabo,13381,,2 - 0,-,First Player,Finished,Wta Singles,WTA Cluj-Napoca,4407,WTA Cluj-Napoca - Semi-finals,2023,0
11904628,2023-10-14,14:40,M. S. Popa,14322,,A. Soboleva,13987,https://api.api-tennis.com/logo-tennis/13987_a-soboleva.jpg,1 - 2,-,Second Player,Finished,Wta Singles,WTA Cluj-Napoca,4407,WTA Cluj-Napoca - Semi-finals,2023,0
11904629,2023-10-14,17:20,D. Jakupovic,1427,,V. Heisen,4952,,0 - 2,-,Second Player,Finished,Wta Singles,WTA Cluj-Napoca,4407,WTA Cluj-Napoca - Semi-finals,2023,0
11904630,2023-10-14,10:10,M. Trevisan,512,https://api.api-tennis.com/logo-tennis/512_m-trevisan.jpg,K. Siniakova,3006,https://api.api-tennis.com/logo-tennis/3006_k-siniakova.jpg,0 - 2,-,Second Player,Finished,Wta Singles,WTA Hong Kong,2241,WTA Hong Kong - Semi-finals,2023,0
11904631,2023-10-14,10:10,T. Mihalikova,7620,,F. Y. Xun,1379,https://api.api-tennis.com/logo-tennis/1379_f-y-xun.jpg,2 - 0,-,First Player,Finished,Wta Singles,WTA Nanchang,2303,WTA Nanchang - Semi-finals,2023,0
11904632,2023-10-14,14:10,B. Krejcikova,2801,https://api.api-tennis.com/logo-tennis/2801_b-krejcikova.jpg,D. Kasatkina,1990,https://api.api-tennis.com/logo-tennis/1990_d-kasatkina.jpg,2 - 0,-,First Player,Finished,Wta Singles,WTA Zhengzhou,3163,WTA Zhengzhou - Semi-finals,2023,0
11904663,2023-10-14,09:00,I. Shymanovich,223,https://api.api-tennis.com/logo-tennis/223_i-shymanovich.jpg,C. Rosatello,216,,-,-,,Cancelled,Wta Singles,WTA Monastir,7961,,2023,0
11904664,2023-10-14,12:05,C. Bechri,2118,,N. Stevanovic,219,,0 - 2,-,Second Player,Finished,Wta Singles,WTA Monastir,7961,WTA Monastir - Semi-finals,2023,0
11904665,2023-10-14,12:05,C. Buyukakcay,2988,https://api.api-tennis.com/logo-tennis/2988_c-buyukakcay.jpg,C. Paquet,1142,https://api.api-tennis.com/logo-tennis/1142_c-paquet.jpg,0 - 2,-,Second Player,Finished,Wta Singles,WTA Monastir,7961,WTA Monastir - Semi-finals,2023,0
11904666,2023-10-14,12:05,K. Zavatska,480,https://api.api-tennis.com/logo-tennis/480_k-zavatska.jpg,D. Papamichail,1111,https://api.api-tennis.com/logo-tennis/1111_d-papamichail.jpg,2 - 1,-,First Player,Finished,Wta Singles,WTA Monastir,7961,WTA Monastir - Semi-finals,2023,0
