point_id,number_point,score,break_point,set_point,match_point
529,2,15 - 15,,,
530,3,30 - 15,,,
531,4,30 - 30,,,
532,5,30 - 40,,,
533,6,40 - 40,,,
534,7,40 - A,,,
535,8,40 - 40,,,
536,9,40 - A,,,
537,1,0 - 15,,,
538,2,15 - 15,,,
539,3,30 - 15,,,
540,4,40 - 15,,,
541,1,0 - 15,,,
542,2,15 - 15,,,
543,3,15 - 30,,,
544,4,15 - 40,,,
545,1,0 - 15,,,
546,2,0 - 30,,,
547,3,15 - 30,,,
548,4,30 - 30,,,
549,5,40 - 30,,,
550,6,40 - 40,,,
551,7,A - 40,,,
552,8,40 - 40,,,
553,9,A - 40,,,
554,1,0 - 15,,,
555,2,0 - 30,,,
556,3,15 - 30,,,
557,4,30 - 30,,,
558,5,40 - 30,First Play,,
559,1,0 - 15,,,
560,2,15 - 15,,,
561,3,15 - 30,,,
562,4,15 - 40,First Play,,
563,1,0 - 15,,,
564,2,0 - 30,,,
565,3,0 - 40,,First Play,First Play
566,1,0 - 15,,,
567,2,0 - 30,,,
568,3,15 - 30,,,
569,4,30 - 30,,,
570,5,40 - 30,,,
571,1,15 - 0,,,
572,2,30 - 0,,,
573,3,30 - 15,,,
574,4,40 - 15,First Play,,
575,5,40 - 30,First Play,,
576,1,0 - 15,,,
577,2,15 - 15,,,
578,3,15 - 30,,,
579,4,30 - 30,,,
580,5,30 - 40,First Play,,
581,6,40 - 40,,,
582,7,40 - A,First Play,,
583,8,40 - 40,,,
584,9,A - 40,,,
585,1,15 - 0,,,
586,2,15 - 15,,,
587,3,15 - 30,,,
588,4,15 - 40,,,
589,5,30 - 40,,,
590,1,0 - 15,,,
591,2,15 - 15,,,
592,3,30 - 15,,,
593,4,40 - 15,,,
594,5,40 - 30,,,
595,6,40 - 40,,,
596,7,A - 40,,,
597,1,0 - 15,,,
598,2,15 - 15,,,
599,3,30 - 15,,,
600,4,40 - 15,First Play,,
601,1,0 - 15,,,
602,2,0 - 30,,,
603,3,15 - 30,,,
604,4,30 - 30,,,
605,5,30 - 40,First Play,,
606,6,40 - 40,,,
607,7,A - 40,,,
608,1,0 - 15,,,
609,2,15 - 15,,,
610,3,15 - 30,,,
611,4,15 - 40,,,
612,1,15 - 0,,,
613,2,15 - 15,,,
614,3,30 - 15,,,
615,4,40 - 15,,,
616,1,15 - 0,,,
617,2,30 - 0,,,
618,3,30 - 15,,,
619,4,30 - 30,,,
620,5,40 - 30,First Play,,
621,6,40 - 40,,,
622,7,40 - A,,,
623,8,40 - 40,,,
624,9,A - 40,First Play,,
625,1,15 - 0,,,
626,2,15 - 15,,,
627,3,30 - 15,,,
628,4,30 - 30,,,
629,5,40 - 30,,,
630,1,15 - 0,,,
631,2,15 - 15,,,
632,3,30 - 15,,,
633,4,30 - 30,,,
634,5,40 - 30,First Play,,
635,6,40 - 40,,,
636,7,40 - A,,,
637,1,15 - 0,,,
638,2,30 - 0,,,
639,3,30 - 15,,,
640,4,40 - 15,,,
641,1,0 - 15,,,
